Current Loan Amount,Credit Score,Annual Income,Monthly Income,Monthly Debt,Debt / Income Ratio,Credit History(Years),Months Delinquent,Open Accounts,Credit Problems,Credit Balance,Total Credit,Credit Usage Ratio,Bankruptcies
262108,733.0,855342.0,71278.5,9194.86,0.12899906703985073,22.8,0.0,5,0,110884,224840,0.4931684753602562,0.0
310376,0.0,0.0,0.0,5101.12,0.0,8.5,0.0,10,0,126179,241890,0.5216379345983712,0.0
429616,0.0,0.0,0.0,21998.58,0.0,22.3,25.0,12,0,321898,847066,0.38001525264855396,0.0
414744,706.0,1164225.0,97018.75,14746.66,0.15199804161566707,10.5,0.0,17,0,258172,797170,0.3238606570744007,0.0
654126,646.0,2504504.0,208708.67,14818.48,0.07100078784460655,31.9,11.0,7,0,130264,187594,0.6943932108702837,0.0
539990,682.0,1790807.0,149233.92,24026.64,0.16099985847721482,17.3,53.0,13,1,81358,382910,0.2124729048601499,1.0
531476,0.0,0.0,0.0,30122.6,0.0,26.4,0.0,26,0,658559,3272720,0.20122680828179618,0.0
316426,717.0,683183.0,56931.92,16453.24,0.2889985090964788,15.0,2.0,10,0,136952,554488,0.24698821254923461,0.0
473902,713.0,1042511.0,86875.92,22240.45,0.2560024688083879,14.0,0.0,7,0,232655,386496,0.6019596580559695,0.0
223344,716.0,1195898.0,99658.17,11759.86,0.11800196612079071,17.6,71.0,7,0,94677,167618,0.5648379052369077,0.0
766238,649.0,1796165.0,149680.42,36821.24,0.24599904249333343,33.1,0.0,10,0,510093,925760,0.5509991790528863,0.0
471152,688.0,1017279.0,84773.25,14496.24,0.17100016809547822,8.5,0.0,7,0,115444,218064,0.5294042116076014,0.0
563486,747.0,2647308.0,220609.0,45666.12,0.20700025837567826,16.8,0.0,26,0,137256,2337082,0.05872964662771781,0.0
219824,702.0,2088328.0,174027.33,22275.41,0.12799949295320454,21.7,0.0,13,1,155800,451044,0.3454208458598274,1.0
304986,674.0,4872778.0,406064.83,30130.01,0.07419999904941287,21.9,26.0,13,0,155078,1081740,0.14335977221883262,0.0
105666,742.0,806170.0,67180.83,15135.78,0.22529909201776757,15.9,0.0,10,0,226708,653026,0.3471653502310781,0.0
346412,0.0,0.0,0.0,7824.39,0.0,14.8,74.0,10,0,333678,482966,0.6908933548117259,0.0
253506,733.0,1403492.0,116957.67,30525.78,0.26099853049398125,26.7,40.0,19,0,16492,149138,0.1105821453955397,0.0
170126,712.0,1137492.0,94791.0,3564.21,0.03760072158749248,12.5,40.0,5,0,70205,109692,0.6400193268424316,0.0
134398,746.0,2205425.0,183785.42,38447.83,0.20919956544975113,33.5,0.0,15,0,668629,1084314,0.6166378004895261,0.0
442948,719.0,956365.0,79697.08,26618.81,0.3339998153006359,8.0,0.0,17,0,384351,1101562,0.3489145413512812,0.0
142868,740.0,2429815.0,202484.58,14781.43,0.07300027488512953,31.0,52.0,15,0,189449,507782,0.3730912084319649,0.0
332508,707.0,926345.0,77195.42,13895.27,0.180001222870476,19.6,0.0,9,0,356554,571010,0.624426892698902,0.0
235950,726.0,1164396.0,97033.0,13390.63,0.13800078323869197,15.7,0.0,7,0,168074,321156,0.5233406817870443,0.0
290708,7440.0,1487776.0,123981.33,10067.15,0.08119891922437031,17.1,0.0,9,0,387277,1047706,0.3696428196459694,0.0
153714,740.0,995714.0,82976.17,13939.92,0.1679990773254538,21.7,0.0,8,0,218614,371184,0.588963963963964,0.0
69366,731.0,1273133.0,106094.42,28433.5,0.2680018421326965,20.5,0.0,11,0,84930,339086,0.25046743304058555,0.0
108878,751.0,1316434.0,109702.83,4377.22,0.03990070265279392,37.5,0.0,18,0,354920,2151556,0.16495968499076946,0.0
288068,685.0,948062.0,79005.17,22121.32,0.2799983849158226,14.5,0.0,13,0,358359,527912,0.6788233645001439,0.0
447436,722.0,1159266.0,96605.5,20287.25,0.2100009833808634,43.4,0.0,17,0,448514,1022318,0.4387225892530504,0.0
401192,721.0,1116440.0,93036.67,14792.83,0.15899999430332148,13.5,48.0,9,0,431414,731368,0.5898726769560604,0.0
165440,0.0,0.0,0.0,8257.21,0.0,12.2,0.0,7,0,54986,117260,0.4689237591676616,0.0
168124,7110.0,967955.0,80662.92,14519.42,0.18000117030229007,14.5,34.0,18,0,143697,311608,0.46114669713229445,0.0
306460,652.0,3503106.0,291925.5,7590.12,0.026000195255296298,10.2,0.0,9,0,133817,303226,0.44131110129078643,0.0
657162,740.0,3783660.0,315305.0,25508.07,0.08089966857487195,15.2,13.0,14,0,579937,948464,0.6114486158673392,0.0
314072,748.0,627722.0,52310.17,9959.99,0.19040255460840597,29.2,0.0,11,0,211242,1881462,0.11227545387576257,0.0
763686,740.0,2581663.0,215138.58,46469.82,0.21599947345566753,25.6,0.0,15,0,1137036,3033580,0.37481655337917574,0.0
526900,667.0,1516808.0,126400.67,22246.53,0.17600009556911367,23.0,6.0,7,0,196992,254584,0.7737799704616158,0.0
330132,743.0,1520608.0,126717.33,17613.76,0.13900040349650675,17.0,7.0,15,0,133133,213510,0.623544564657393,0.0
774928,0.0,0.0,0.0,50060.44,0.0,15.9,43.0,11,0,721715,1069992,0.6745050430283591,0.0
531124,0.0,0.0,0.0,30020.95,0.0,19.0,0.0,22,1,563293,949388,0.5933222244224701,1.0
292072,0.0,0.0,0.0,15030.33,0.0,9.8,0.0,10,0,304133,525602,0.5786374481071229,0.0
99999999,746.0,1132590.0,94382.5,8230.23,0.08720080523402113,22.0,20.0,5,0,298623,917180,0.3255882160535555,0.0
107668,747.0,1394790.0,116232.5,29290.59,0.252,18.2,11.0,10,0,160474,529386,0.3031323079945446,0.0
268906,738.0,909606.0,75800.5,16145.63,0.21300162927685173,18.0,14.0,11,0,589285,1201288,0.4905443157677426,0.0
62172,0.0,0.0,0.0,3239.69,0.0,5.8,0.0,11,0,97774,193182,0.5061237589423445,0.0
156398,716.0,1234962.0,102913.5,26757.7,0.26000184621065264,19.5,9.0,21,0,466108,958606,0.4862352207267637,0.0
44198,717.0,839838.0,69986.5,15047.24,0.21500203610696347,17.5,40.0,7,1,127699,176858,0.7220425426048016,1.0
765314,690.0,1888410.0,157367.5,10543.48,0.06699909447630546,16.5,0.0,11,0,97869,602822,0.16235140721473337,0.0
232364,742.0,580260.0,48355.0,4506.61,0.0931984282907662,22.3,0.0,5,0,79363,685740,0.11573336833202089,0.0
141724,7150.0,847400.0,70616.67,14405.61,0.20399729978771303,13.8,66.0,8,0,80750,102520,0.787651190011705,0.0
180356,0.0,0.0,0.0,10221.43,0.0,25.1,0.0,7,1,85424,202708,0.42141405371272966,1.0
111408,736.0,1346891.0,112240.92,19529.91,0.1739999101931809,10.6,0.0,13,0,170221,227348,0.7487244224712775,0.0
161854,701.0,660079.0,55006.58,7810.9,0.1419993753474584,17.9,76.0,9,0,231401,380050,0.6088698855413761,0.0
145046,730.0,832428.0,69369.0,15677.28,0.22599835661462614,13.2,0.0,6,1,30552,123288,0.24781000583998442,1.0
272976,0.0,0.0,0.0,9332.23,0.0,12.8,0.0,18,0,209171,552970,0.3782682604842939,0.0
61358,746.0,454214.0,37851.17,1059.82,0.027999662890209207,13.3,0.0,3,0,3553,32428,0.10956580732700136,0.0
152196,0.0,0.0,0.0,7908.56,0.0,18.0,39.0,10,0,117439,358776,0.327332374517805,0.0
313676,0.0,0.0,0.0,7376.37,0.0,17.3,0.0,14,1,186257,346720,0.5371971619750807,1.0
293436,730.0,1357531.0,113127.58,21946.9,0.19400132134003045,26.2,0.0,7,0,763857,1188792,0.6425489067894131,0.0
773696,697.0,2959136.0,246594.67,47099.48,0.19099958648741272,17.0,0.0,9,0,786942,1143274,0.6883231841185927,0.0
129844,727.0,1214746.0,101228.83,19840.94,0.19600088235732843,21.2,11.0,11,0,175427,448404,0.3912253235921178,0.0
211156,717.0,1177848.0,98154.0,14173.24,0.14439798683701122,18.7,78.0,7,0,276754,494538,0.5596213031152307,0.0
224202,699.0,619609.0,51634.08,17504.13,0.33900342564445807,7.6,36.0,14,0,107730,188452,0.5716575042981767,0.0
150942,0.0,0.0,0.0,5122.02,0.0,6.6,0.0,8,0,93176,567842,0.16408789768985035,0.0
442706,648.0,1593036.0,132753.0,29736.71,0.22400028624588522,30.4,0.0,19,0,473214,740432,0.6391052790803207,0.0
403700,673.0,1458136.0,121511.33,6938.23,0.05709944908018042,21.0,0.0,8,1,363375,627990,0.5786318253475374,1.0
217756,738.0,752248.0,62687.33,10324.6,0.1646999481394406,13.8,0.0,10,0,95456,311366,0.3065716873390158,0.0
99999999,749.0,1483881.0,123656.75,15086.19,0.12200053777897285,22.4,0.0,15,0,65968,606210,0.10882037577737087,0.0
404734,657.0,1209977.0,100831.42,30451.11,0.30200020985522175,20.8,0.0,24,0,600096,1030942,0.5820851221504216,0.0
260744,704.0,2683579.0,223631.58,31308.39,0.13999986048482063,37.3,40.0,14,1,109003,167376,0.6512462957652232,1.0
490226,6640.0,1896390.0,158032.5,19912.19,0.12600060114217013,14.0,0.0,7,0,75487,195558,0.3860082430787797,0.0
328614,707.0,794656.0,66221.33,12714.42,0.19199886199809035,20.0,0.0,13,0,419710,880396,0.47672865392391606,0.0
99999999,712.0,1874920.0,156243.33,10452.66,0.06689987982206985,22.4,19.0,5,3,159239,312510,0.5095484944481776,0.0
54736,707.0,1550362.0,129196.83,29844.63,0.2310012559905688,18.0,82.0,12,0,772806,963204,0.8023284787023309,0.0
71962,743.0,310783.0,25898.58,388.55,0.015002753046692135,30.4,0.0,7,1,30438,244750,0.12436363636363636,1.0
180026,0.0,0.0,0.0,13863.73,0.0,8.7,0.0,11,0,210615,258874,0.8135811244080131,0.0
324632,0.0,0.0,0.0,16335.25,0.0,19.5,16.0,10,0,257925,449768,0.5734623183507942,0.0
120736,725.0,1137606.0,94800.5,6598.13,0.06960016033670709,16.3,5.0,14,0,144704,504680,0.2867242609178093,0.0
99999999,675.0,782686.0,65223.83,13892.61,0.21299899131958366,6.4,0.0,12,0,66006,250580,0.26341288211349667,0.0
259908,0.0,0.0,0.0,16203.58,0.0,16.1,0.0,7,0,110580,158092,0.6994661336437011,0.0
99999999,721.0,661808.0,55150.67,14725.19,0.2669992948408424,13.7,77.0,18,0,323380,455510,0.7099295295383197,0.0
539836,720.0,1995399.0,166283.25,31261.08,0.1879989716342446,24.5,33.0,9,0,300694,399278,0.7530943352751717,0.0
518804,0.0,0.0,0.0,26183.9,0.0,22.1,0.0,15,0,386612,1695628,0.22800519925360987,0.0
99999999,728.0,775276.0,64606.33,14536.52,0.2250014820529196,9.8,0.0,15,0,334628,646844,0.5173241152426242,0.0
99999999,742.0,2406825.0,200568.75,22463.7,0.112,13.6,0.0,10,1,580963,1067792,0.5440788093561293,1.0
468754,746.0,1773517.0,147793.08,36061.62,0.24400073399918323,31.4,0.0,8,2,692949,1582548,0.437869183114825,0.0
430628,0.0,0.0,0.0,11365.8,0.0,15.4,0.0,7,0,338428,876678,0.38603455316547236,0.0
213004,731.0,1316814.0,109734.5,13870.38,0.12639944593541683,22.1,51.0,14,0,160341,1355156,0.11831921933710952,0.0
235026,724.0,966530.0,80544.17,15142.24,0.1879992059015569,10.3,0.0,10,0,52934,255332,0.2073143985086084,0.0
517484,748.0,1955309.0,162942.42,22160.08,0.13599945305832575,19.2,0.0,20,0,291099,1353660,0.2150458756260804,0.0
99999999,709.0,755060.0,62921.67,15227.17,0.24200200026477364,14.3,0.0,13,0,220286,362824,0.6071428571428571,0.0
240548,695.0,1556974.0,129747.83,33345.0,0.2569985178172151,26.0,36.0,32,1,294614,1176274,0.2504637524930416,0.0
781946,643.0,1736505.0,144708.75,29810.05,0.20600032824552764,30.1,2.0,8,0,64619,82676,0.7815932072185399,0.0
99999999,745.0,728992.0,60749.33,15430.47,0.25400230751516106,21.5,36.0,11,1,69407,275220,0.2521873410362619,1.0
761684,747.0,1597558.0,133129.83,23696.99,0.17799910057723356,25.0,0.0,16,0,607107,2440878,0.2487248440929862,0.0
126346,714.0,858458.0,71538.17,9586.07,0.1339993740404598,14.8,56.0,5,0,78546,117656,0.6675902631400014,0.0
248094,725.0,557745.0,46478.75,8319.72,0.17900051098620337,16.1,0.0,7,0,211679,441628,0.4793151702337714,0.0
220858,0.0,0.0,0.0,12974.34,0.0,21.8,14.0,11,0,25365,114730,0.22108428484267412,0.0
335082,0.0,0.0,0.0,12290.91,0.0,10.9,23.0,9,0,137750,301510,0.4568671022519983,0.0
210892,746.0,739898.0,61658.17,7645.6,0.12399978786266282,10.5,28.0,10,0,74765,250206,0.29881377744738336,0.0
443916,738.0,2396147.0,199678.92,36541.18,0.18299968769863137,15.7,78.0,16,0,539961,897006,0.6019591842195036,0.0
390170,0.0,0.0,0.0,3279.4,0.0,27.7,12.0,9,0,105412,266508,0.3955303405526288,0.0
436700,0.0,0.0,0.0,12584.27,0.0,18.0,0.0,4,0,489744,851466,0.575177399919668,0.0
756448,741.0,1530583.0,127548.58,21683.18,0.16999938376420967,22.1,0.0,7,0,861156,1140876,0.754819980436086,0.0
178310,716.0,1308929.0,109077.42,20288.39,0.18599990722186133,14.8,61.0,11,0,231344,401038,0.5768630404101357,0.0
99999999,708.0,805391.0,67115.92,18792.52,0.2800009297347038,17.9,44.0,10,0,99180,219164,0.45253782555529193,0.0
268884,0.0,0.0,0.0,35680.86,0.0,21.7,0.0,14,1,1136485,1638780,0.6934945508243937,1.0
310244,745.0,1456217.0,121351.42,20022.77,0.16499823405445113,14.7,0.0,7,0,154261,472538,0.32645205253334125,0.0
99999999,737.0,1553744.0,129478.67,27967.43,0.21600028792387194,28.5,28.0,16,0,346617,707850,0.48967577876668783,0.0
661892,742.0,1849023.0,154085.25,27735.25,0.17999938345818306,11.8,0.0,15,0,201134,684992,0.2936297066243109,0.0
225522,743.0,1685547.0,140462.25,18681.56,0.13300057488755876,13.6,0.0,7,0,101973,219076,0.46546860450254707,0.0
229944,708.0,584934.0,48744.5,872.48,0.017899045020463848,16.2,0.0,10,0,76304,552222,0.1381763131494218,0.0
72424,737.0,786695.0,65557.92,7604.75,0.11600047713533315,17.5,45.0,16,0,166136,307296,0.5406383421847339,0.0
537922,742.0,2032506.0,169375.5,27608.14,0.16299960738123281,18.2,26.0,10,0,1172718,1398430,0.8385961399569517,0.0
359700,713.0,1941610.0,161800.83,26697.09,0.16499970982843537,22.2,72.0,9,0,539030,762058,0.707334612326096,0.0
320584,606.0,894349.0,74529.08,21091.52,0.28299718713822847,13.8,0.0,9,0,34238,72732,0.47074190177638453,0.0
99999999,709.0,1465394.0,122116.17,35413.91,0.29000180729546304,15.2,0.0,19,0,211489,1475166,0.14336623810472857,0.0
620796,713.0,2393525.0,199460.42,21142.82,0.10600007760938235,18.3,49.0,10,0,132544,534732,0.24786996102720615,0.0
257642,741.0,3152157.0,262679.75,11163.83,0.04249977396430444,20.6,28.0,15,0,284278,901802,0.3152332773713077,0.0
87208,707.0,1977254.0,164771.17,45311.77,0.27499816867234717,22.6,41.0,13,0,316160,416460,0.7591605436296402,0.0
44330,675.0,765700.0,63808.33,10336.95,0.1620000084628449,21.7,10.0,4,0,38722,53196,0.7279118730731634,0.0
123156,731.0,1063715.0,88642.92,7694.05,0.08679824626715817,13.6,33.0,6,0,114,67188,0.0016967315592070012,0.0
782254,634.0,3223445.0,268620.42,24740.09,0.09210055586987766,15.1,65.0,10,1,44327,255310,0.17362030472758608,1.0
21670,713.0,805068.0,67089.0,7782.4,0.11600113282356272,17.4,36.0,21,0,87799,612370,0.14337573689109526,0.0
270028,0.0,0.0,0.0,17509.26,0.0,21.5,49.0,10,0,227335,427306,0.5320192087169382,0.0
393228,683.0,1320690.0,110057.5,25643.54,0.23300129477772982,15.3,0.0,14,0,146338,382470,0.38261301539990067,0.0
125422,735.0,928511.0,77375.92,14546.59,0.18799892783181124,15.9,55.0,17,0,73549,197120,0.3731178977272727,0.0
99999999,707.0,2012803.0,167733.58,53339.46,0.31800108243084063,17.0,0.0,13,0,953857,1434378,0.6649969533832784,0.0
389224,0.0,0.0,0.0,17268.34,0.0,12.1,0.0,6,0,339226,458348,0.7401057711607774,0.0
431640,722.0,2329875.0,194156.25,21551.32,0.11099987767584098,22.6,55.0,12,0,238621,325820,0.7323706340924436,0.0
75064,697.0,375858.0,31321.5,9333.94,0.29800424628450106,11.7,37.0,2,0,19950,54384,0.3668358340688438,0.0
80938,695.0,431034.0,35919.5,7708.3,0.21459931235122984,11.4,0.0,6,0,89547,148324,0.6037256276799439,0.0
298298,701.0,1217843.0,101486.92,11467.83,0.11299810852472417,13.4,17.0,7,0,75316,192940,0.3903596973152275,0.0
295966,0.0,0.0,0.0,15682.22,0.0,18.6,36.0,8,0,62814,246576,0.2547449873467004,0.0
108064,731.0,597303.0,49775.25,5475.23,0.10999904571046855,12.8,20.0,15,1,32110,97328,0.3299153378267302,0.0
256982,0.0,0.0,0.0,15095.88,0.0,19.8,0.0,11,0,338732,1431430,0.23663888558993454,0.0
216722,710.0,580222.0,48351.83,14070.45,0.29100139539703046,19.1,15.0,11,0,56544,382888,0.14767764986105597,0.0
427790,0.0,0.0,0.0,17395.26,0.0,26.5,6.0,22,0,2660095,11536008,0.23059059945173407,0.0
354860,7350.0,1436552.0,119712.67,36512.11,0.30499787532931977,16.3,0.0,19,0,2092280,4017640,0.5207733893529535,0.0
354882,732.0,948214.0,79017.83,18727.35,0.2370015729361335,8.5,51.0,9,0,0,0,0.0,0.0
475244,736.0,1772339.0,147694.92,34412.61,0.23299792572418873,19.2,0.0,22,0,537852,777524,0.6917497080475973,0.0
140976,707.0,1311114.0,109259.5,12674.14,0.11600034779584384,8.4,14.0,12,0,150936,232078,0.6503675488413379,0.0
110924,701.0,728061.0,60671.75,4538.34,0.07480153448680811,28.9,42.0,9,1,97071,226138,0.42925558729625274,1.0
112222,732.0,1259947.0,104995.58,24988.99,0.23800039963587039,15.4,0.0,19,0,725135,1367476,0.530272560542196,0.0
179300,706.0,1025924.0,85493.67,7395.18,0.08649973734897566,17.9,0.0,10,0,177004,513656,0.3445963835718847,0.0
270160,709.0,1555416.0,129618.0,12598.9,0.09720023453532688,21.2,12.0,5,0,239229,352418,0.6788217400927308,0.0
99999999,701.0,1381813.0,115151.08,38230.28,0.3320010546145116,17.7,0.0,13,0,347947,489566,0.7107254180233105,0.0
340186,652.0,1700424.0,141702.0,20688.53,0.14600026816840975,31.5,33.0,9,0,193971,271260,0.715074098650741,0.0
99999999,746.0,846944.0,70578.67,15456.88,0.21900214328209924,41.4,48.0,19,0,203471,1095842,0.18567548971475814,0.0
238656,737.0,993111.0,82759.25,8226.24,0.09939964414853929,15.4,0.0,4,0,220457,312818,0.704745251232346,0.0
222530,708.0,768740.0,64061.67,17168.4,0.26799800879371394,14.4,0.0,19,0,406885,651662,0.6243804303457927,0.0
99999999,746.0,1172908.0,97742.33,2257.77,0.023099203794302837,20.8,50.0,10,0,14611,144540,0.10108620451086205,0.0
162184,731.0,465006.0,38750.5,3754.97,0.09690120127482225,10.3,0.0,4,0,130188,268224,0.4853704366499642,0.0
533544,0.0,0.0,0.0,29070.57,0.0,22.4,0.0,8,0,457881,1084226,0.4223114000217667,0.0
228778,7400.0,676305.0,56358.75,10764.45,0.19099873577749685,12.5,0.0,10,0,285570,387200,0.737525826446281,0.0
300916,737.0,1386050.0,115504.17,22638.88,0.1960005426643904,17.0,0.0,9,0,255417,332310,0.7686106346483705,0.0
235972,0.0,0.0,0.0,22058.05,0.0,14.7,0.0,6,0,322981,408276,0.7910849523361647,0.0
328262,749.0,2097828.0,174819.0,23076.07,0.13199978263232257,23.0,64.0,9,1,323912,713042,0.45426777104293997,0.0
523248,663.0,1788983.0,149081.92,13536.55,0.0907994074667136,15.5,49.0,17,0,165528,426888,0.3877551020408163,0.0
99999999,720.0,1704452.0,142037.67,20169.26,0.1419993724200066,22.6,73.0,9,0,635265,793496,0.800590047082783,0.0
245938,707.0,1024043.0,85336.92,17152.82,0.20100116104494983,14.9,0.0,8,0,254391,388586,0.6546581709068263,0.0
525932,732.0,1684407.0,140367.25,12225.93,0.08709959053839125,14.7,0.0,7,0,331569,467060,0.7099066501091936,0.0
448228,744.0,1354871.0,112905.92,6153.53,0.0545013937267417,16.9,0.0,8,0,54169,285142,0.18997201394392968,0.0
347710,0.0,0.0,0.0,21771.15,0.0,19.2,0.0,7,0,24377,239228,0.10189860718644975,0.0
182116,0.0,0.0,0.0,26269.02,0.0,29.3,71.0,26,1,410362,1044318,0.39294735894622135,1.0
220682,712.0,2858835.0,238236.25,22799.24,0.09570012959824545,12.5,20.0,9,0,339815,496826,0.6839718533249065,0.0
448756,706.0,1162686.0,96890.5,25772.93,0.2660005882929699,9.7,0.0,11,0,401375,511852,0.7841622187663622,0.0
186912,740.0,484747.0,40395.58,8886.87,0.21999609858306282,10.2,0.0,10,0,285323,671484,0.42491407092350675,0.0
221518,727.0,1243531.0,103627.58,24559.59,0.23699858666968773,9.5,0.0,13,0,356231,440682,0.8083629465237973,0.0
395648,0.0,0.0,0.0,35830.2,0.0,15.5,8.0,10,0,165281,285648,0.5786177393155212,0.0
527054,744.0,2465554.0,205462.83,20135.44,0.09800040231121122,26.0,0.0,10,0,453150,1097690,0.4128214705426851,0.0
458964,704.0,1581731.0,131810.92,28339.26,0.21499933389433892,23.7,35.0,13,0,2203791,5406258,0.4076370384099316,0.0
79178,676.0,382508.0,31875.67,6215.85,0.1950029599377833,5.9,0.0,10,0,59166,110682,0.534558464791023,0.0
220594,744.0,609634.0,50802.83,6401.29,0.1260026262316489,27.7,5.0,20,0,373692,1456884,0.2565008607411434,0.0
218350,733.0,1470429.0,122535.75,30388.79,0.2479993797728418,11.8,0.0,18,1,343938,502216,0.6848407856380522,1.0
351538,698.0,1214423.0,101201.92,27931.71,0.27599980316578976,20.2,27.0,15,0,472283,654896,0.7211572524492439,0.0
126170,0.0,0.0,0.0,13301.14,0.0,7.7,46.0,7,0,104234,179322,0.581267217630854,0.0
333960,0.0,0.0,0.0,10927.85,0.0,11.9,19.0,16,0,175731,929104,0.1891402899998278,0.0
156486,719.0,637089.0,53090.75,6795.73,0.12800214726670842,17.0,66.0,11,0,285950,453574,0.6304373707487643,0.0
128040,730.0,1551920.0,129326.67,14096.67,0.10900048690652903,22.6,0.0,10,0,360867,426800,0.8455178069353327,0.0
